Artículo,Preguntas
1.1,"2,24"
1.2,9
1.3,10
1 (valores),2
2,"1,14,896"
3.1,"12,13,16"
3.2,"9,11"
3.3,15
4.1,22
4.2,17
5,20
6,"19,25,26"
7,"8,29"
8,"5,6"
8.1,7
8.2,6
9.1,30
9.2,"21,27"
9.3,"3,18,23,28"
10,10
10-55,"139,167"
11,"113,136,165"
11.2,"136,192"
12,"44,105"
13,"42,51,54,118,142,202"
13.1,142
13.2,"51,118"
13.3,"54,118,202"
14,"42,161,173,200"
15,"38,64,81,124,183,193"
15-29,134
16,"36,37,63,88,145,194"
16.1,"63,88"
16.2,"178,194"
16.3,"37,145"
17,"70,92,110,158"
17.1,188
17.2,"75,92,110,158"
17.3,"93,107,195"
17.4,"69,75,93,119"
18,"76,80,120,133,169,172,185"
18.1,"80,172,185"
18.2,"76,110"
18.3,"40,120,133,169"
18.4,103
19,"56,197"
20,"39,40,79,150,201"
20.1,150
20.1.a,150
20.1.c,48
20.1.d,"122,201"
20.3,85
20.5,133
21,"74,100,197"
21.1,100
21.2,117
22,"49,170,189,1144"
22.2,49
22.3,1144
22.5,170
23,87
23.1,87
24,"61,62,65,67,82,128,168,772"
24.1,61
24.2,"62,65,67,82,114,128,168,176"
25,"50,55,58,64,68,140,166"
25.1,68
25.2,166
25.3,"50,55"
26,"31,135"
27,"95,98,121,129,132,177,182"
27.1,129
27.10,177
27.2,"39,121"
27.3,129
27.4,121
27.5,182
27.6,117
27.7,132
28,"34,66,98,101,148"
28.1,"34,98,148"
28.2,66
29,"60,143,163,171"
30,"89,106,152,200"
30.1,"84,101"
30.2,"89,102,123,200"
30.3,152
31,"33,112"
31.2,"97,112"
31.3,"33,97,112"
32,"41,141"
33,"151,162,184,198"
33.2,162
33.3,58
34,"59,99"
35,"86,160"
35.1,160
35.2,156
36,"46,156"
37,156
37.1,"46,203"
38,131
39,"44,57,91,155,164"
39.2,91
40,146
40.1,72
40.2,146
41,"27,57,187"
42,78
43,"43,78,180"
43.3,"155,180"
44,"91,108,179"
44.1,91
44.2,108
45,"83,130,131,147,175"
45.1,131
45.2,181
46,"43,115,138,159"
